Bás-játék						
Játékosok száma:						
5						
Ki dob? 	Piros	Kék	Számérték	Bás-érték	Füllenteni kell	Füllentett érték
1	2	3	32	32		
2	6	6	66	6bás		41
3	2	5	52	52	igen	21
4	1	2	21	21		53
5	6	5	65	65	igen	
1	5	2	52	52	igen	1bás
2	1	1	11	1bás		53
3	6	3	63	63	igen	2bás
4	6	1	61	61	igen	64
5	2	2	22	2bás		62
1	2	6	62	62	igen	3bás
2	1	5	51	51	igen	63
3	1	6	61	61		52
4	5	3	53	53	igen	62
5	2	6	62	62		54
1	2	3	32	32	igen	63
2	4	1	41	41		41
3	4	4	44	4bás		42
4	3	1	31	31	igen	5bás
5	6	6	66	6bás		32
1	5	6	65	65	igen	21
2	6	2	62	62	igen	1bás
3	5	3	53	53	igen	63
4	5	4	54	54		54
5	5	5	55	5bás		61
1	2	5	52	52	igen	6bás
2	6	6	66	6bás		53
3	2	5	52	52	igen	21
4	1	2	21	21		53
5	6	4	64	64	igen	
1	5	4	54	54	igen	65
2	6	5	65	65		61
3	3	6	63	63	igen	1bás
4	3	6	63	63	igen	64
5	4	1	41	41	igen	64
1	4	5	54	54		42
2	6	4	64	64		61
3	4	5	54	54	igen	65
4	1	5	51	51	igen	61
5	4	1	41	41	igen	52
1	1	2	21	21		42
2	1	2	21	21	igen	
3	4	6	64	64	igen	
4	1	3	31	31	igen	65
5	4	5	54	54		32
1	1	6	61	61		61
2	1	2	21	21		62
3	5	5	55	5bás	igen	
4	5	3	53	53	igen	6bás
5	5	5	55	5bás		54
1	2	1	21	21		6bás
2	2	1	21	21	igen	
3	3	4	43	43	igen	
4	3	2	32	32	igen	51
5	5	3	53	53		41
1	2	3	32	32	igen	54
2	3	5	53	53		41
3	5	5	55	5bás		54
4	4	1	41	41	igen	6bás
5	1	2	21	21		42
1	6	6	66	6bás	igen	
2	5	5	55	5bás	igen	21
3	2	4	42	42	igen	6bás
4	1	2	21	21		43
5	5	6	65	65	igen	
1	5	5	55	5bás		1bás
2	6	6	66	6bás		6bás
3	3	5	53	53	igen	21
4	6	5	65	65		54
5	6	5	65	65	igen	1bás
1	5	6	65	65	igen	1bás
2	5	4	54	54	igen	1bás
3	6	5	65	65		61
4	2	3	32	32	igen	1bás
5	4	1	41	41		41
1	1	4	41	41	igen	42
2	5	3	53	53		42
3	6	3	63	63		54
4	3	2	32	32	igen	64
5	4	6	64	64		41
1	3	5	53	53	igen	65
2	5	3	53	53	igen	54
3	1	2	21	21		54
4	4	1	41	41	igen	
5	4	3	43	43		42
1	2	5	52	52		51
2	6	5	65	65		53
3	3	6	63	63	igen	1bás
4	2	4	42	42	igen	64
5	5	1	51	51		43
1	6	3	63	63		52
2	1	5	51	51	igen	64
3	2	5	52	52		52
4	1	5	51	51	igen	53
5	4	3	43	43	igen	52
1	6	3	63	63		51
2	5	2	52	52	igen	64
3	1	4	41	41	igen	53
4	2	4	42	42		42
5	1	6	61	61		43
