Megye	Régiókód	Óvodás	Általános iskolai	Szakiskolai	Gimnáziumi	Szakközépiskolai
Bács-Kiskun	7	17169	49412	8366	9004	12096
Baranya	4	12375	34281	5573	8479	7371
Békés	7	11982	33706	5948	7916	8881
Borsod-Abaúj-Zemplén	5	25474	74786	10590	12023	20570
Budapest	1	47813	119645	15758	50625	55861
Csongrád	7	13569	36139	5577	8027	12948
Fejér	2	13949	39126	6130	6794	10898
Gyõr-Moson-Sopron	3	13563	36845	6251	8864	11135
Hajdú-Bihar	6	20028	54465	8054	10820	13879
Heves	5	10607	28272	4784	5473	9095
Jász-Nagykun-Szolnok	6	13763	38994	6717	7082	10095
Komárom-Esztergom	2	10299	28120	5023	5653	6878
Nógrád	5	6924	19086	2774	3068	4314
Pest	1	39681	101033	7971	13960	12271
Somogy	4	10982	30000	5437	5015	7361
Szabolcs-Szatmár-Bereg	6	22603	62906	8621	10577	12672
Tolna	4	7993	21716	4354	4521	5254
Vas	3	7980	22817	3561	4226	7140
Veszprém	2	10962	32090	6380	6683	8028
Zala	3	8277	24346	3903	4556	8681
